,title,price,make,model,year,mileage,fuel_type,engine_power,engine_capacity,transmission,pollution_standard,gearbox,body_type,country_origin,original_owner,no_accident
4360,Dacia Logan MCV 1.5 dCi 75 CP Laureate,6350.0,Dacia,Logan,2015,183 000 km,Diesel,75 CP,1 461 cm3,Fata,,Manuala,Combi,,,
4361,Ford S-Max 2.0 PFi Trend,4490.0,Ford,S-Max,2007,157 500 km,Benzina,145 CP,1 999 cm3,Fata,,Manuala,Monovolum,,,
4362,BMW Seria 5 520d AT,30000.0,BMW,Seria 5,2017,142 500 km,Diesel,190 CP,1 995 cm3,Spate,Euro 6,Automata,Sedan,Belgia,,Da
4363,Dacia Duster 1.5 dCi 4WD Comfort,8450.0,Dacia,Duster,2017,188 000 km,Diesel,109 CP,1 461 cm3,4x4 (manual),Euro 5,Manuala,SUV,Franta,Da,
4364,Volkswagen Golf,2850.0,Volkswagen,Golf,2005,230 000 km,Benzina,102 CP,1 595 cm3,Fata,Euro 4,Manuala,Compacta,Germania,,
4365,Volvo V40 D2 Momentum,9300.0,Volvo,V40,2018,236 700 km,Diesel,120 CP,1 969 cm3,Fata,Euro 6,Manuala,Compacta,,,
4366,Dacia Sandero 0.9 TCe Laureate,8650.0,Dacia,Sandero,2017,75 310 km,Benzina,90 CP,898 cm3,Fata,Euro 6,Manuala,Compacta,Romania,Da,
4367,Fiat Scudo L2 (5-Si.) Panorama Executive,4350.0,Fiat,Scudo,2007,286 000 km,Diesel,120 CP,1 997 cm3,Fata,,Manuala,Monovolum,,,
4368,BMW Seria 3 320d Touring Aut. Efficient Dynamics Edition,10999.0,BMW,Seria 3,2013,244 000 km,Diesel,163 CP,1 995 cm3,Spate,Euro 5,Automata,Combi,Olanda,Da,Da
4369,Ford Transit Custom Kombi 320 2.0 EcoBlue 105 CP L1H1 Trend,8200.0,Ford,Transit Custom,2016,233 062 km,Diesel,105 CP,1 995 cm3,Fata,Euro 5,Manuala,Monovolum,,,
4370,Volkswagen Golf 1.4 Variant Trendline,4000.0,Volkswagen,Golf,2005,324 000 km,Benzina,75 CP,1 390 cm3,,,Manuala,Compacta,,,
4371,BMW X3 xDrive20d Aut. xLine,37500.0,BMW,X3,2019,67 000 km,Diesel,190 CP,1 995 cm3,4x4 (automat),Euro 6b,Automata,SUV,,,Da
4372,Skoda Superb Combi 2.0 TDI DSG Sportline,12450.0,Skoda,Superb,2016,188 000 km,Diesel,150 CP,1 968 cm3,Fata,Euro 6b,Automata,Combi,,Da,Da
4373,BMW Z4 roadster 2.0i,8900.0,BMW,Z4,2007,180 279 km,Benzina,150 CP,1 995 cm3,Spate,,Manuala,Cabrio,,,
4374,Toyota Avensis,17900.0,Toyota,Avensis,2018,30 850 km,Diesel,143 CP,1 995 cm3,Fata,Euro 6,Manuala,Sedan,Romania,Da,Da
4375,Lamborghini URUS Standard,327250.0,Lamborghini,URUS,2023,10 100 km,Benzina,650 CP,3 996 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,,Da
4376,Mercedes-Benz GLA 200 d 4MATIC Aut.,17900.0,Mercedes-Benz,GLA,2015,130 603 km,Diesel,136 CP,2 143 cm3,4x4 (automat),Euro 6,Automata,SUV,Romania,,
4377,BMW Seria 5 520d AT,30000.0,BMW,Seria 5,2017,142 500 km,Diesel,190 CP,1 995 cm3,Spate,Euro 6,Automata,Sedan,Belgia,,Da
4378,Dacia Duster 1.5 dCi 4WD Comfort,8450.0,Dacia,Duster,2017,188 000 km,Diesel,109 CP,1 461 cm3,4x4 (manual),Euro 5,Manuala,SUV,Franta,Da,
4379,BMW Seria 5 520d Touring Aut.,10150.0,BMW,Seria 5,2011,248 960 km,Diesel,184 CP,1 995 cm3,Spate,Euro 5,Automata,Combi,Olanda,,
4380,Dacia Sandero 0.9 TCe Laureate,8650.0,Dacia,Sandero,2017,75 310 km,Benzina,90 CP,898 cm3,Fata,Euro 6,Manuala,Compacta,Romania,Da,
4381,Hyundai IONIQ Plug-in-Hybrid 1.6 GDI,23690.0,Hyundai,IONIQ,2021,48 566 km,Hibrid,105 CP,1 580 cm3,Fata,Euro 6,Automata,Compacta,Germania,,
4382,Fiat Scudo L2 (5-Si.) Panorama Executive,4350.0,Fiat,Scudo,2007,286 000 km,Diesel,120 CP,1 997 cm3,Fata,,Manuala,Monovolum,,,
4383,BMW Seria 3 320d Touring Aut. Efficient Dynamics Edition,10999.0,BMW,Seria 3,2013,244 000 km,Diesel,163 CP,1 995 cm3,Spate,Euro 5,Automata,Combi,Olanda,Da,Da
4384,BMW X4 xDrive20d,32900.0,BMW,X4,2018,80 000 km,Diesel,190 CP,1 995 cm3,4x4 (automat),Euro 6,Automata,SUV,,,
4385,Audi A4 2.0 TDI Avant,9800.0,Audi,A4,2012,280 000 km,Diesel,143 CP,1 968 cm3,,,Manuala,Combi,,,
4386,Volkswagen Passat Variant TDI,1600.0,Volkswagen,Passat,2001,296 000 km,Diesel,115 CP,1 896 cm3,,,Manuala,Combi,,,
4387,Audi SQ5 3.0 TFSI quattro tiptronic,22000.0,Audi,SQ5,2015,157 000 km,Benzina,354 CP,2 995 cm3,4x4 (manual),,Automata,SUV,,,
4388,Volkswagen Golf 1.4 Variant Trendline,4000.0,Volkswagen,Golf,2005,324 000 km,Benzina,75 CP,1 390 cm3,,,Manuala,Compacta,,,
4389,Audi Q7 3.0 TDI Quattro Tiptronic,46500.0,Audi,Q7,2017,136 500 km,Diesel,272 CP,2 967 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,,
4390,Skoda Superb Combi 2.0 TDI DSG Sportline,12450.0,Skoda,Superb,2016,188 000 km,Diesel,150 CP,1 968 cm3,Fata,Euro 6b,Automata,Combi,,Da,Da
4391,Audi A3 2.0 TDI Sportback quattro S tronic design,15600.0,Audi,A3,2015,161 000 km,Diesel,184 CP,1 968 cm3,,,Automata,Compacta,,,
4392,BMW Z4 roadster 2.0i,8900.0,BMW,Z4,2007,180 279 km,Benzina,150 CP,1 995 cm3,Spate,,Manuala,Cabrio,,,
4393,Toyota Avensis,17900.0,Toyota,Avensis,2018,30 850 km,Diesel,143 CP,1 995 cm3,Fata,Euro 6,Manuala,Sedan,Romania,Da,Da
4394,Ford Focus,5990.0,Ford,Focus,2012,157 729 km,Benzina,100 CP,999 cm3,Fata,Euro 5,Manuala,Combi,Germania,Da,Da
4395,Mercedes-Benz GLA 200 d 4MATIC Aut.,17900.0,Mercedes-Benz,GLA,2015,130 603 km,Diesel,136 CP,2 143 cm3,4x4 (automat),Euro 6,Automata,SUV,Romania,,
4396,Toyota Hilux 2.8D 204CP 4x4 Double Cab AT,57120.0,Toyota,Hilux,2022,10 km,Diesel,204 CP,2 755 cm3,4x4 (manual),Euro 6,Automata,SUV,Germania,Da,Da
4397,BMW X1 xDrive20d,3890.0,BMW,X1,2011,250 000 km,Diesel,177 CP,1 995 cm3,,,Manuala,SUV,,,
